2022-07-17 15:09:38,158 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-07-17 15:09:38,304 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:09:38,343 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:09:38,399 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:09:38,535 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 15:09:38,644 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-07-17 15:09:38,659 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:11:07,242 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 15:11:07,243 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 15:11:07,243 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 15:11:07,243 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 15:11:07,244 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:11:07,624 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-07-17 15:11:07,869 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:11:07,935 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:11:08,007 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:11:08,149 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 15:11:08,291 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-07-17 15:11:08,299 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:12:18,010 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 15:12:18,010 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 15:12:18,010 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 15:12:18,011 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 15:12:18,011 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:12:18,227 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-07-17 15:12:18,294 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:12:18,389 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:12:18,441 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:12:18,591 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 15:12:18,732 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-07-17 15:12:18,746 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:14:34,254 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/geoclue-where-am-i.desktop)
2022-07-17 15:14:34,254 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/geoclue-demo-agent.desktop)
2022-07-17 15:14:37,136 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 15:14:37,136 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 15:14:37,136 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 15:14:37,136 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 15:14:37,136 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:14:37,382 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-07-17 15:14:37,504 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:14:37,583 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:14:37,645 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 15:14:37,773 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 15:14:37,861 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-07-17 15:14:37,876 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
